X,Y,OBJECTID,EGIS_ID,REG_ID,BSTP_GEO_ID,BSTP_OPS_TCD,BSTP_EFF_DATE,BSTP_TCD,AT_STR,ON_STR,BSTP_HDG,BSTP_POS_TCD,BSTP_LDC,BSTP_MSG_TEXT,BSTP_LAT_LON_TCD,BSTP_INV_SYR_TCD,BSTP_INV_SRV_DATE,BSTP_BNH_CNT,BSTP_BST_TCD,BSTP_IFC_OWN,BSTP_HAS_BKRS,BSTP_HAS_PRS,BSTP_HAS_PVM,BSTP_HAS_PRM,BSTP_PDP_SIZE_TCD,BSTP_PDP_MTR_TCD,BSTP_PDP_OBS_TCD,BSTP_PDP_HAS_CCN,BSTP_HAS_BDR_PDP,BSTP_BDR_PDP_OBS,BSTP_SWK_WDT,BSTP_SWK_HAS_CCN,BSTP_SWK_HAS_PPC,BSTP_SWK_SLP_WVL,BSTP_SWK_OBS_TCD,BSTP_SWK_IPD_TCD,ONS_CRP_SLP,ONS_CRP,OFS_CRP,AT_STR_ABS_CRP,AT_STR_OSS_CRP,ONS_CWK,OFS_CWK,AT_STR_ABS_CWK,AT_STR_OSS_CWK,ON_STR_STS_OR_TFL,ON_STR_PDC_SGL,AT_STR_PDC_SGL,BSTP_PRK_RST_TCD,BSTP_NPK_ZNE_LTH,CNF_NPK_SNS,STR_LGT_WTN_30_FT,BSTP_HAS_LED_DSP,BSTP_ACC_RATING,BSTP_BRDG_STP,BSTP_HAS_LUM_SIGN,BSTP_HAS_PWR_SRC,METRO_ACCS_STP,BSTP_LON,BSTP_LAT
-76.9444112598861,38.8899097881112,1,1307956,1000814,5108,PRS,1958/10/03 04:00:00+00,REV,41ST ST NE,E CAPITOL ST NE,270,NEA,UNKNOWN,E CAPITOL ST NE + 41ST ST NE,,KFH,2006/06/13 04:00:00+00,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,6,N,Y,N,NON,UNK,4.90000009536743,Y,Y,Y,N,Y,Y,Y,U,Y,N,N,YMR,,N,Y,U,Y,U,U,U,U,-76.944409,38.889902
-77.1920843378886,38.8299337648941,2,1302690,5000762,1796,PRS,1983/10/05 04:00:00+00,UNK,JOHN MARR DR,LITTLE RIVER TPKE,278,UNK,"FRT OF PARCEL STORE; 512' W OF XWALK",LITTLE RIVER TPKE + JOHN MARR DR,,KFH,2012/05/03 04:00:00+00,0,UNK,NAPP,N,N,N,N,NON,EXM,NON,U,N,E,0,N,N,N,NON,NON,,N,N,U,E,N,N,E,E,N,N,N,NPL,150,N,N,N,N,U,U,U,U,-77.192082,38.829926
-76.9869012696888,38.8359107787778,3,1309710,1000090,2091,PRS,1991/12/29 05:00:00+00,UNK,WAHLER PL SE,13TH ST SE,145,NEA,@ P P #365-5505 (1ST STEPS CHILD CARE),13TH ST SE + WAHLER PL SE,,KFH,2006/04/20 04:00:00+00,,UNK,UNKW,N,N,N,N,58U,CON,NON,Y,N,E,6,N,Y,N,NON,UNK,9,Y,N,Y,N,Y,N,Y,U,N,N,N,NSG,,N,Y,U,N,U,U,U,U,-76.986899,38.835903
-76.9854895983859,38.8343131237319,4,1309708,1000077,19132,PRS,1980/08/06 04:00:00+00,REV,SOUTHERN AVE SE,13TH ST SE,149,NEA,UNKNOWN,13TH ST SE + SOUTHERN AVE SE,TMP,KFH,2006/04/20 04:00:00+00,0,UNK,WMAT,N,N,N,Y,58U,CON,NON,Y,Y,U,0,U,E,U,UNK,UNK,5.69999980926514,Y,N,Y,N,Y,Y,Y,U,Y,Y,Y,NSG,,N,N,U,N,U,U,U,U,-76.985487,38.834305
-76.9847282807152,38.8518397815354,5,1309706,1000233,2837,PRS,1982/01/31 05:00:00+00,REV,BRUCE PL SE,12TH PL SE,217,FAR,N OF 1ST DRWY,12TH PL SE + BRUCE PL SE,,KFH,2006/04/27 04:00:00+00,0,UNK,WMAT,N,N,N,N,SWK,CON,NON,N,N,E,5,N,N,N,NON,UNK,,N,N,U,N,N,N,U,U,N,N,N,YUN,,U,Y,U,N,U,U,U,U,-76.984726,38.851832
-76.9852802735569,38.8512637810047,6,1309705,1000226,2812,PRS,1996/06/27 04:00:00+00,REV,JASPER RD SE,12TH PL SE,219,NEA,UNKNOWN,12TH PL SE + JASPER RD SE,,KFH,2006/04/27 04:00:00+00,0,UNK,UNKW,N,N,N,N,58U,CON,NON,Y,Y,U,6,N,Y,N,NON,UNK,11.1999998092651,N,N,Y,N,N,N,Y,U,N,N,N,YUN,,U,Y,U,N,U,U,U,U,-76.985278,38.851256
-77.0539743056649,38.8987897882677,7,1307548,1003064,13103,PRS,1901/01/01 05:00:00+00,UNK,VIRGINIA AVE NW,NEW HAMPSHIRE AVE NW,178,FAR,FRT OF WATERGATE (ON TRAFFIC CIR),NEW HAMPSHIRE AVE NW + VIRGINIA AVE NW,,KFH,2006/05/24 04:00:00+00,,UNK,UNKW,N,N,N,N,58U,CON,NON,Y,N,E,6,Y,Y,N,NON,UNK,4.40000009536743,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,,N,Y,U,Y,U,U,U,U,-77.053972,38.898782
-77.070772301313,38.8939577835843,8,1307537,6000692,21599,PRS,1901/01/01 05:00:00+00,REV,FAIRFAX DR,N LYNN ST,21,FAR,UNKNOWN,N LYNN ST + FAIRFAX DR,,KFH,2007/01/12 05:00:00+00,0,UNK,UNKW,N,N,N,N,58U,CON,NON,Y,N,E,6,N,Y,N,NON,UNK,,N,N,U,N,N,N,U,U,N,N,N,NSG,,N,N,U,N,U,U,U,U,-77.07077,38.89395
-77.0597763059363,38.9187407874128,9,1307528,1001726,6988,PRS,1930/09/22 04:00:00+00,REV,30TH ST NW,MASSACHUSETTS AVE NW,133,NEX,UNKNOWN,MASSACHUSETTS AVE NW + 30TH ST NW,,KFH,2006/05/23 04:00:00+00,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,6,N,Y,N,NON,UNK,4.59999990463257,Y,N,U,Y,Y,N,U,Y,Y,Y,Y,YMR,,N,Y,U,U,U,U,U,U,-77.059774,38.918733
-77.008512282696,38.9124657876501,10,1308076,1001542,6642,PRS,1959/03/08 05:00:00+00,REV,R ST NE,LINCOLN RD NE,13,NEA,UNKNOWN,LINCOLN RD NE + R ST NE,,KFH,2006/08/07 04:00:00+00,0,UNK,WMAT,N,Y,N,Y,58U,CON,NON,Y,N,E,11,Y,Y,N,NON,UNK,4.19999980926514,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,NSG,,N,Y,U,Y,U,U,U,U,-77.00851,38.912458
